ač	121
ba	112
ca	99
CD	135
Ce
ad	119
ah	80
bi	66
či	171
čí
aj	136
čj	79
čl	108
cm	152
co	162
Aš	61
ap	108
ar	93
as	112
ČR	152
čp	122
čs	122
au	110
ať	133
bu
bú
až	180
by	168
dB	110
dá	139
fa	102
de	160
dí	72
eg	69
fi
fí
En
do	194
Dr	124
er	94
es	103
ér	72
EU	131
eV	120
ex	111
fy	79
ha	141
id	100
Hg	75
hl	118
Io	73
go
hm	83
ho	165
Ir	97
Gy	66
Hz	102
Kč	118
já	123
kb	102
la	134
je	203
jé
ke	167
ji	161
jí	152
kg	143
li	102
jo	83
km	170
ks	114
Lu	72
jů
kV	108
ku	115
kW	129
mb	115
má	175
na	204
ob	99
oč	84
mé	110
mě	121
ne	144
ně	140
od	185
ód	69
mg	120
mh	68
mi	125
mí	84
ni	135
ní	159
mj	138
ml	117
oj	72
ok	101
mm	152
nm	115
no	117
on	142
oň
óm
op	104
os	125
oř
mu	166
nu	92
my	116
ný
Pb	68
pa	84
sb	126
ré
se	208
ph	117
pí	84
si	174
pl
po	183
ró
SŠ	75
př	159
sp	103
Pu	77
sv	154
ta	140
uč	66
úč
te	96
té	159
tě	106
uf	63
uď
ve	190
úd	69
th	90
ti	132
ví	120
tj	149
úl	89
tm	86
to	177
um	89
VŠ	96
vs	109
tu	147
ty	142
tý
už	162
vy	102
WC	100
za	183
ze	176
že	185
zn	86
ZŠ	108
.ac
.ba
.bb
.ca
.cc
.ad
.ae
.af
.bd
.be
.bf
.cd
.cf
.ag
.ai
.bg
.bh
.bi
.cg
.ch
.ci
.al
.bj
.ck
.cl
.am
.ao
.bm
.bn
.bo
.cm
.cn
.co
.aq
.ar
.as
.bq
.br
.bs
.cr
.at
.au
.bt
.cu
.cv
.aw
.ax
.az
.bw
.by
.bz
.cw
.cx
.cy
.cz
.ec
.de
.ee
.eg
.eh
.fi
.dj
.dk
.fj
.fk
.fm
.dm
.do
.fo
.er
.es
.fr
.et
.eu
.dz
.ga
.gd
.ge
.gf
.id
.ie
.gg
.gh
.gi
.gl
.hk
.il
.gm
.gn
.hm
.hn
.im
.in
.io
.gp
.gq
.gr
.gs
.hr
.iq
.ir
.is
.gt
.gu
.ht
.hu
.it
.gw
.gy
.la
.lb
.lc
.je
.ke
.kg
.kh
.ki
.li
.lk
.jm
.jo
.km
.kn
.jp
.kp
.kr
.lr
.ls
.lt
.lu
.lv
.kw
.ky
.kz
