-a	212
-e	254
-i	103
-k	10
-n	106
-s	42
-t	216
ab	52
áb
CD	237
ad	60
be	78
bé	6
ah	1
cg
ch
Ág	213
áh
aj
al	63
cl
Áj
ál
BM	227
bő	11
cm	248
ám	249
ap	150
as	112
ár	215
ás	158
bt	143
bú
át	139
az	237
Eb	59
db	75
fa	33
de	194
ff
dg	158
eh
fi
ég	113
éh
DK
dl	222
ej	69
el	165
ÉK	64
éj	202
él	31
FM	190
dm	95
dó
fő	218
én	148
ép	3
ér	249
és	243
EU	252
Ft	71
eV
fú
fű	215
ét
év	39
ex	148
ez	136
GB
ha	157
he	14
hé	4
hí
hL	146
íj	63
GM	193
IM	45
gó
hm	103
hó	243
hő	205
ím	36
ín
IQ	141
gr
is	208
ír	248
hu
hú	49
hü
hű	80
ív	186
Hz	88
íz	167
La	174
ja	197
kB	5
ká
LE	145
jé	7
lé	137
kg	242
ki	132
lg
kJ	31
jó	106
jő	142
km	95
kő	229
lm	216
ln
ló	15
lő	112
kp
kV
kW	141
lx
MB	168
Ob	85
ma	23
na	107
oá
ne	177
né
mg	24
mi	161
ni	102
oh	3
óh	48
ml	130
ok	88
ól
öl	165
ők	246
OM	225
mm	21
nm	71
no	6
nő	6
ón
ön
Mr	131
mp	47
ós
őr	203
ős	122
mú
mű	247
óv
öt	229
öv	185
őt	228
Ny
Oz
Óz
őz	117
PC	206
Pa	56
pb	84
pá
rá	172
Sé
pf
re	80
se	188
SI
pH	133
pi
rí
sí
pl	182
PM	211
Pó
ró	197
só	222
QQ
SS	12
pú
TB	96
vb	112
te	178
tg
ti	17
uh
ví
új	125
ük
ül	243
Tó	241
tő	36
un	174
vő
ún
Úr	179
űr	149
tv	198
tű	159
út	120
üt	42
űz	136
WC	7
zé
zh	8
XL
.ac
.ba
.bb
.ca
.cc
.ad
.ae
.af
.bd
.be
.bf
.cd
.cf
-ai	10
.ag
.ai
.bg
.bh
.bi
.cg
.ch
.ci
.al
.bj
.ck
.cl
.am
.ao
.bm
.bn
.bo
.cm
.cn
.co
-as	59
.aq
.ar
.as
.bq
.br
.bs
.cr
-át	10
.at
.au
.bt
.cu
.cv
-az	130
.aw
.ax
.az	36
.bw
.by
.bz
.cw
.cx
.cy
.cz
.ec
-de	19
.de	23
.ee
-ei	10
.eg
.eh
.fi
.dj
.dk
.fj
.fk
-en	36
-én	4
.dm
.do
.fm
.fo
-es	205
-és	82
.er
.es
.fr
-et	108
.et
.eu
.dz
-ha	54
.ga
.gd
.ge
.gf
.id
.ie
-ig	174
.gg
.gh
.gi
.gl
.hk
.il
.gm
.gn
.hm
.hn
.im
.in
.io
.gp
.gq
.gr
.gs
.hr
.iq
.ir
.is
.gt
.gu
.ht
.hu
.it
.gw
.gy
.la
.lb
.lc
-je	10
.je
.ke
.kg
.kh
.ki
.li
.lk
.jm
.jo
.km
.kn
.jp
.kp
.kr
.lr
.ls
.lt
.lu
.lv
.kw
.ky
.kz
.ly
.ma
.mc
.na
.nc
.md
.me
.ne
.nf
.mg
.mh
.ng
.ni
-ok	10
.mk
.ml
.nl
-on	142
.mm
.mn
.mo
.no
.om
-os	207
-ös	10
.mp
.mq
.mr
.ms
.np
.nr
-ot	211
.mt
.mu
.mv
.nu
.mw
.mx
.my
.mz
.nz
-ra	172
.pa
.qa
.sa
.sb
.sc
-re	182
.pe
.pf
.re
.sd
.se
.pg
.ph
.sg
.sh
.si
.pk
.pl
.sk
.sl
.pm
.pn
.ro
.sm
.sn
.so
.pr
.ps
.rs
.sr
.ss
.pt
.ru
.st
.su
.sv
-RW	10
.pw
.py
.rw
.sx
.sy
.sz
.tc
.ua
.va
.vc
.td
.tf
.ve
.tg
.th
.ug
.vg
.vi
.tj
.tk
.tl
.uk
.tm
.tn
.to
.vn
